session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
hynoen9o,12,avadvs18,0,,InitializeParticipant,1676570719,1,0,0
hynoen9o,11,h3sh1z5m,0,,InitializeParticipant,1676570719,1,0,0
hynoen9o,10,jqjlv046,0,,InitializeParticipant,1676570720,1,0,0
hynoen9o,9,zmwf473b,0,,InitializeParticipant,1676570720,1,0,0
hynoen9o,8,1tpl1lao,0,,InitializeParticipant,1676570721,1,0,0
hynoen9o,7,0riy02hg,0,,InitializeParticipant,1676570721,1,0,0
hynoen9o,6,mzqaufaw,0,,InitializeParticipant,1676570721,1,0,0
hynoen9o,5,bxg6a5v3,0,,InitializeParticipant,1676570722,1,0,0
hynoen9o,4,rujub63o,0,,InitializeParticipant,1676570722,1,0,0
hynoen9o,3,sw4wswao,0,,InitializeParticipant,1676570723,1,0,0
hynoen9o,2,oxjoxmm9,0,,InitializeParticipant,1676570723,1,0,0
hynoen9o,1,gd6ttu0z,0,,InitializeParticipant,1676570724,1,0,0
hynoen9o,12,avadvs18,1,instruction,Instruction,1676570728,1,0,0
hynoen9o,11,h3sh1z5m,1,instruction,Instruction,1676570730,1,0,0
hynoen9o,10,jqjlv046,1,instruction,Instruction,1676570876,1,0,0
hynoen9o,9,zmwf473b,1,instruction,Instruction,1676570879,1,0,0
hynoen9o,8,1tpl1lao,1,instruction,Instruction,1676570881,1,0,0
hynoen9o,7,0riy02hg,1,instruction,Instruction,1676570883,1,0,0
hynoen9o,6,mzqaufaw,1,instruction,Instruction,1676570886,1,0,0
hynoen9o,5,bxg6a5v3,1,instruction,Instruction,1676570888,1,0,0
hynoen9o,4,rujub63o,1,instruction,Instruction,1676570926,1,0,0
hynoen9o,3,sw4wswao,1,instruction,Instruction,1676570929,1,0,0
hynoen9o,2,oxjoxmm9,1,instruction,Instruction,1676570979,1,0,0
hynoen9o,1,gd6ttu0z,1,instruction,Instruction,1676570983,1,0,0
hynoen9o,3,sw4wswao,2,negotiation,FirstWaitPage,1676570983,1,0,1
hynoen9o,5,bxg6a5v3,2,negotiation,FirstWaitPage,1676570983,1,0,1
hynoen9o,7,0riy02hg,2,negotiation,FirstWaitPage,1676570983,1,0,1
hynoen9o,8,1tpl1lao,2,negotiation,FirstWaitPage,1676570983,1,0,1
hynoen9o,10,jqjlv046,2,negotiation,FirstWaitPage,1676570983,1,0,1
hynoen9o,12,avadvs18,2,negotiation,FirstWaitPage,1676570983,1,0,1
hynoen9o,1,gd6ttu0z,2,negotiation,FirstWaitPage,1676570983,1,0,1
hynoen9o,2,oxjoxmm9,2,negotiation,FirstWaitPage,1676570983,1,0,1
hynoen9o,4,rujub63o,2,negotiation,FirstWaitPage,1676570983,1,0,1
hynoen9o,6,mzqaufaw,2,negotiation,FirstWaitPage,1676570983,1,0,1
hynoen9o,9,zmwf473b,2,negotiation,FirstWaitPage,1676570983,1,0,1
hynoen9o,11,h3sh1z5m,2,negotiation,FirstWaitPage,1676570983,1,0,1
hynoen9o,1,gd6ttu0z,3,negotiation,Game_Instruction,1676571759,1,0,0
hynoen9o,2,oxjoxmm9,3,negotiation,Game_Instruction,1676571762,1,0,0
hynoen9o,3,sw4wswao,3,negotiation,Game_Instruction,1676571764,1,0,0
hynoen9o,4,rujub63o,3,negotiation,Game_Instruction,1676571766,1,0,0
hynoen9o,5,bxg6a5v3,3,negotiation,Game_Instruction,1676571768,1,0,0
hynoen9o,6,mzqaufaw,3,negotiation,Game_Instruction,1676571770,1,0,0
hynoen9o,7,0riy02hg,3,negotiation,Game_Instruction,1676571772,1,0,0
hynoen9o,8,1tpl1lao,3,negotiation,Game_Instruction,1676571774,1,0,0
hynoen9o,9,zmwf473b,3,negotiation,Game_Instruction,1676571776,1,0,0
hynoen9o,10,jqjlv046,3,negotiation,Game_Instruction,1676571779,1,0,0
hynoen9o,11,h3sh1z5m,3,negotiation,Game_Instruction,1676571781,1,0,0
hynoen9o,12,avadvs18,3,negotiation,Game_Instruction,1676571783,1,0,0
hynoen9o,12,avadvs18,4,negotiation,Quiz,1676571927,1,0,0
hynoen9o,12,avadvs18,5,negotiation,Answers,1676572264,1,0,0
hynoen9o,11,h3sh1z5m,4,negotiation,Quiz,1676572269,1,0,0
hynoen9o,10,jqjlv046,4,negotiation,Quiz,1676572274,1,0,0
hynoen9o,11,h3sh1z5m,5,negotiation,Answers,1676572276,1,0,0
hynoen9o,10,jqjlv046,5,negotiation,Answers,1676572277,1,0,0
hynoen9o,9,zmwf473b,4,negotiation,Quiz,1676572282,1,0,0
hynoen9o,8,1tpl1lao,4,negotiation,Quiz,1676572286,1,0,0
hynoen9o,9,zmwf473b,5,negotiation,Answers,1676572287,1,0,0
hynoen9o,8,1tpl1lao,5,negotiation,Answers,1676572288,1,0,0
hynoen9o,7,0riy02hg,4,negotiation,Quiz,1676572292,1,0,0
hynoen9o,6,mzqaufaw,4,negotiation,Quiz,1676572295,1,0,0
hynoen9o,6,mzqaufaw,5,negotiation,Answers,1676572297,1,0,0
hynoen9o,7,0riy02hg,5,negotiation,Answers,1676572298,1,0,0
hynoen9o,5,bxg6a5v3,4,negotiation,Quiz,1676572308,1,0,0
hynoen9o,4,rujub63o,4,negotiation,Quiz,1676572311,1,0,0
hynoen9o,4,rujub63o,5,negotiation,Answers,1676572312,1,0,0
hynoen9o,5,bxg6a5v3,5,negotiation,Answers,1676572313,1,0,0
hynoen9o,3,sw4wswao,4,negotiation,Quiz,1676572318,1,0,0
hynoen9o,3,sw4wswao,5,negotiation,Answers,1676572319,1,0,0
hynoen9o,12,avadvs18,6,negotiation,WaitForInstructions,1676572319,1,0,1
hynoen9o,10,jqjlv046,6,negotiation,WaitForInstructions,1676572319,1,0,1
hynoen9o,8,1tpl1lao,6,negotiation,WaitForInstructions,1676572319,1,0,1
hynoen9o,7,0riy02hg,6,negotiation,WaitForInstructions,1676572319,1,0,1
hynoen9o,5,bxg6a5v3,6,negotiation,WaitForInstructions,1676572319,1,0,1
hynoen9o,3,sw4wswao,6,negotiation,WaitForInstructions,1676572319,1,0,1
